year,name,gender,rank_within_gender,frequency,cumulative_frequency
1990,MARY,female,1,2.629,2.629
1990,PATRICIA,female,2,1.073,3.702
1990,LINDA,female,3,1.035,4.736
1990,BARBARA,female,4,0.980,5.716
1990,ELIZABETH,female,5,0.937,6.653
1990,JENNIFER,female,6,0.932,7.586
1990,MARIA,female,7,0.828,8.414
1990,SUSAN,female,8,0.794,9.209
1990,MARGARET,female,9,0.768,9.976
1990,DOROTHY,female,10,0.727,10.703
1990,LISA,female,11,0.704,11.407
1990,NANCY,female,12,0.669,12.075
1990,KAREN,female,13,0.667,12.742
1990,BETTY,female,14,0.666,13.408
1990,HELEN,female,15,0.663,14.071
1990,SANDRA,female,16,0.629,14.700
1990,DONNA,female,17,0.583,15.282
1990,CAROL,female,18,0.565,15.848
1990,RUTH,female,19,0.562,16.410
1990,SHARON,female,20,0.522,16.932
1990,MICHELLE,female,21,0.519,17.451
1990,LAURA,female,22,0.510,17.961
1990,SARAH,female,23,0.508,18.469
1990,KIMBERLY,female,24,0.504,18.973
1990,DEBORAH,female,25,0.494,19.467
1990,JESSICA,female,26,0.490,19.958
1990,SHIRLEY,female,27,0.482,20.439
1990,CYNTHIA,female,28,0.469,20.908
1990,JAMES,male,1,3.318,3.318
1990,JOHN,male,2,3.271,6.589
1990,ROBERT,male,3,3.143,9.732
1990,MICHAEL,male,4,2.629,12.361
1990,WILLIAM,male,5,2.451,14.812
1990,DAVID,male,6,2.363,17.176
1990,RICHARD,male,7,1.703,18.878
1990,CHARLES,male,8,1.523,20.401
1990,JOSEPH,male,9,1.404,21.805
1990,THOMAS,male,10,1.380,23.185
1990,CHRISTOPHER,male,11,1.035,24.220
1990,DANIEL,male,12,0.974,25.194
1990,PAUL,male,13,0.948,26.142
1990,MARK,male,14,0.938,27.081
1990,DONALD,male,15,0.931,28.012
1990,GEORGE,male,16,0.927,28.939
1990,KENNETH,male,17,0.826,29.766
1990,STEVEN,male,18,0.780,30.546
1990,EDWARD,male,19,0.779,31.325
1990,BRIAN,male,20,0.736,32.061
1990,RONALD,male,21,0.725,32.787
1990,ANTHONY,male,22,0.721,33.508
1990,KEVIN,male,23,0.671,34.179
1990,JASON,male,24,0.660,34.839
